sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/x
3.289, -7.50746
3.339, -7.50746
3.389, -7.50746
3.439, -7.50746
3.489, -7.50746
3.539, -7.50746
3.589, -7.50746
3.639, -7.50746
3.689, -7.50746
3.739, -7.50746
3.789, -7.50746
3.839, -7.50746
3.889, -7.50746
3.939, -7.50746
3.989, -7.50746
4.039, -7.50746
4.089, -7.50746
4.14, -7.50746
4.189, -7.50746
4.239, -7.50746
4.29, -7.50746
4.339, -7.50746
4.39, -7.50746
4.439, -7.5074
4.489, -7.50751
4.539, -7.50747
4.59, -7.50746
4.639, -7.50746
4.689, -7.50746
4.739, -7.50746
4.79, -7.50746
4.839, -7.50746
4.889, -7.50746
4.939, -7.50746
4.989, -7.50746
5.039, -7.50746
5.089, -7.50746
5.138, -7.50746
5.189, -7.50746
5.238, -7.50746
5.29, -7.50746
5.339, -7.50746
5.389, -7.50746
5.439, -7.50746
5.49, -7.50746
5.539, -7.50746
5.589, -7.50746
5.639, -7.50746
5.689, -7.50746
5.739, -7.50746
5.789, -7.50746
5.84, -7.50746
5.89, -7.50746
5.94, -7.50746
5.989, -7.50746
6.039, -7.50746
6.089, -7.50746
6.139, -7.50746
6.189, -7.50746
6.239, -7.50746
6.289, -7.50746
6.339, -7.50746
6.389, -7.50746
6.439, -7.49339
6.489, -7.49999
6.539, -7.50577
6.589, -7.50681
6.639, -7.50689
6.689, -7.50673
6.739, -7.50648
6.789, -7.50619
6.839, -7.50585
6.889, -7.50546
6.94, -7.50502
6.989, -7.50453
7.039, -7.50402
7.089, -7.50345
7.139, -7.50283
7.189, -7.50217
7.24, -7.50144
7.289, -7.5007
7.339, -7.4999
7.389, -7.49906
7.439, -7.49816
7.49, -7.49721
7.54, -7.49622
7.589, -7.49521
7.639, -7.49411
7.689, -7.49302
7.739, -7.49185
7.79, -7.49061
7.839, -7.48938
7.889, -7.48807
7.939, -7.48672
7.989, -7.48533
8.039, -7.48389
8.089, -7.48237
8.14, -7.48084
8.19, -7.47926
8.239, -7.47766
8.289, -7.476
8.339, -7.47424
8.389, -7.47248
8.439, -7.49966
8.489, -7.48743
8.539, -7.47715
8.589, -7.47647
8.64, -7.4777
8.69, -7.47923
8.738, -7.48076
8.789, -7.4823
8.839, -7.48379
8.889, -7.48523
8.939, -7.48663
8.989, -7.48798
9.039, -7.48929
9.089, -7.49055
9.139, -7.49177
9.189, -7.49294
9.239, -7.49406
9.289, -7.49514
9.339, -7.49617
9.389, -7.49716
9.439, -7.4981
9.489, -7.499
9.539, -7.49985
9.589, -7.50065
9.639, -7.50141
9.689, -7.50212
9.739, -7.50279
9.789, -7.50342
9.84, -7.504
9.889, -7.50451
9.939, -7.50499
9.989, -7.50544
10.038, -7.50582
10.089, -7.50618
10.139, -7.50647
10.189, -7.50672
10.239, -7.50693
10.289, -7.50709
10.339, -7.50721
10.389, -7.50728
10.439, -7.93266
10.489, -7.6307
10.54, -7.33193
10.589, -7.17272
10.639, -7.00232
10.689, -6.812
10.739, -6.56903
10.789, -6.28884
10.839, -5.96995
10.89, -5.6068
10.939, -5.22375
10.989, -4.78932
11.039, -4.33906
11.089, -3.87162
11.14, -3.35452
11.189, -2.83962
11.239, -2.29654
11.289, -1.73866
11.339, -1.16938
11.389, -0.592133
11.439, 0.571513
11.49, -0.28788
11.539, -1.07871
11.589, -1.69405
11.639, -2.26295
11.689, -2.80839
11.739, -3.33479
11.79, -3.84292
11.839, -4.3116
11.889, -4.76617
11.939, -5.19113
11.989, -5.58389
12.039, -5.9421
12.089, -6.26654
12.139, -6.54956
12.189, -6.78899
12.239, -6.98973
12.289, -7.14747
12.339, -7.26127
12.389, -7.32827
12.439, -7.83054
12.489, -7.72728
12.539, -7.55296
12.589, -7.51657
12.639, -7.50927
12.689, -7.50782
12.739, -7.50753
12.789, -7.50747
12.839, -7.50746
12.889, -7.50746
12.939, -7.50746
12.988, -7.50746
