sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/y
5.9, -6.53536e-15
5.951, 1.31857e-14
6.001, -6.54116e-15
6.05, -6.30076e-15
6.1, 1.31855e-14
6.15, -6.54101e-15
6.2, -6.25108e-15
6.25, 1.38457e-14
6.3, -6.30737e-15
6.35, -6.24127e-15
6.401, 1.38548e-14
6.45, -6.2563e-15
6.5, -5.86331e-15
6.55, 1.3855e-14
6.6, -6.24725e-15
6.651, -6.30032e-15
6.7, 1.32358e-14
6.75, -5.86824e-15
6.8, -6.30074e-15
6.85, 1.38552e-14
6.9, -6.53965e-15
6.95, -6.25001e-15
7, 1.32347e-14
7.05, -5.86807e-15
7.1, -6.24984e-15
7.15, 1.36106e-14
7.199, -5.8682e-15
7.25, -6.24037e-15
7.3, 1.31819e-14
7.35, -6.30553e-15
7.4, -5.86191e-15
7.45, 1.38438e-14
7.5, -6.25632e-15
7.55, -6.53261e-15
7.601, 1.38527e-14
7.65, -6.24524e-15
7.7, 0.000215164
7.75, 3.04356e-05
7.8, -6.37542e-06
7.85, -1.36882e-05
7.901, -1.51524e-05
7.95, -1.54296e-05
8, -1.54869e-05
8.05, -1.54983e-05
8.1, -1.55005e-05
8.15, -1.5501e-05
8.2, -1.55011e-05
8.25, -1.55011e-05
8.301, -1.55011e-05
8.35, -1.55011e-05
8.4, -1.55011e-05
8.45, -1.55011e-05
8.5, -1.55011e-05
8.55, -1.55011e-05
8.6, -1.55011e-05
8.65, -1.55011e-05
8.7, -1.55011e-05
8.75, -1.55011e-05
8.8, -1.55011e-05
8.85, -1.55011e-05
8.9, -1.55011e-05
8.95, -1.55011e-05
9, -1.55011e-05
9.05, -1.55011e-05
9.1, -1.55011e-05
9.15, -1.55011e-05
9.2, -1.55011e-05
9.25, -1.55011e-05
9.3, -1.55011e-05
9.351, -1.55011e-05
9.4, -1.55011e-05
9.45, -1.55011e-05
9.5, -1.55011e-05
9.551, -1.55011e-05
9.599, -1.55011e-05
9.649, -1.55011e-05
9.701, 0.00394003
9.75, 0.028585
9.801, 0.0337237
9.851, 0.0347043
9.901, 0.0348991
9.95, 0.0349374
10, 0.0349454
10.05, 0.0349469
10.1, 0.0349473
10.15, 0.0349473
10.2, 0.0349473
10.249, 0.0349473
10.299, 0.0349473
10.35, 0.0349473
10.4, 0.0349473
10.45, 0.0349473
10.5, 0.0349473
10.55, 0.0349472
10.6, 0.0349472
10.65, 0.0349472
10.7, 0.0349472
10.75, 0.0349472
10.801, 0.0349472
10.851, 0.0349472
10.9, 0.0349472
10.951, 0.0349472
11, 0.0349472
11.049, 0.0349472
11.101, 0.0349472
11.151, 0.0349472
11.2, 0.0349472
11.251, 0.0349471
11.301, 0.0349471
11.351, 0.0349471
11.401, 0.0349471
11.451, 0.0349471
11.5, 0.0349471
11.551, 0.0349471
11.601, 0.0349471
11.65, 0.0349471
11.7, 0.0290706
11.75, -0.0222283
11.801, -0.0325008
11.851, -0.0344611
11.9, -0.0348474
11.951, -0.0349279
12.001, -0.0349433
12.05, -0.0349463
12.1, -0.034947
12.15, -0.0349471
12.2, -0.0349471
12.25, -0.0349471
12.3, -0.0349471
12.35, -0.0349472
12.4, -0.0349472
12.45, -0.0349472
12.5, -0.0349472
12.55, -0.0349472
12.6, -0.0349472
12.65, -0.0349472
12.7, -0.0349472
12.75, -0.0349472
12.8, -0.0349472
12.851, -0.0349472
12.9, -0.0349472
12.951, -0.0349472
13, -0.0349473
13.051, -0.0349473
13.1, -0.0349473
13.15, -0.0349473
13.2, -0.0349473
13.251, -0.0349473
13.301, -0.0349473
13.351, -0.0349473
13.4, -0.0349473
13.45, -0.0349473
13.5, -0.0349473
13.55, -0.0349474
13.601, -0.0349474
13.65, -0.0349474
13.701, -0.155142
13.75, -0.90402
13.8, -1.05895
13.851, -1.08999
13.9, -1.09588
13.95, -1.09712
14, -1.09738
14.05, -1.09746
14.1, -1.0975
14.151, -1.09754
14.2, -1.09758
14.25, -1.09762
14.301, -1.09767
14.35, -1.09771
14.4, -1.09776
14.45, -1.09781
14.5, -1.09786
14.55, -1.09791
14.6, -1.09796
14.651, -1.09802
14.701, -0.849766
14.75, 0.697975
14.8, 1.0185
14.85, 1.08221
14.9, 1.09484
14.95, 1.09731
15, 1.09776
15.05, 1.09781
15.101, 1.09777
15.15, 1.09773
15.2, 1.09768
15.25, 1.09764
15.3, 1.0976
15.35, 1.09756
15.4, 1.09752
15.45, 1.09749
15.501, 1.09745
15.551, 1.09743
15.6, 1.0974
15.65, 1.09738
15.7, 1.0051
15.75, 0.199694
15.8, 0.0396708
15.85, 0.00788093
15.9, 0.00156561
15.95, 0.00031102
16, 6.17866e-05
16.05, 1.22744e-05
16.1, 2.43841e-06
16.15, 4.84409e-07
16.199, 9.9393e-08
16.25, 1.91172e-08
16.3, 3.79779e-09
16.35, 7.5446e-10
16.4, 1.49875e-10
16.45, 2.97742e-11
16.5, 5.92054e-12
16.55, 1.17214e-12
16.6, 2.50915e-13
16.65, 5.31025e-14
16.7, 1.2769e-14
16.75, 1.34288e-14
16.8, -6.72625e-15
16.85, 1.28486e-14
16.9, -6.76349e-15
16.95, -6.28834e-15
17, 1.27662e-14
17.05, -6.72995e-15
17.1, -6.67519e-15
17.15, 1.28157e-14
17.2, -6.96161e-15
17.25, -6.72211e-15
17.3, 1.28141e-14
17.35, -6.67059e-15
17.4, -6.28604e-15
17.45, 1.34328e-14
17.5, -6.72794e-15
17.55, -6.67259e-15
17.6, 1.34304e-14
