sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/z
5.9, -0.000460138
5.951, -0.000460138
6.001, -0.000460138
6.05, -0.000460138
6.1, -0.000460138
6.15, -0.000460138
6.2, -0.000460138
6.25, -0.000460138
6.3, -0.000460138
6.35, -0.000460138
6.401, -0.000460138
6.45, -0.000460138
6.5, -0.000460138
6.55, -0.000460138
6.6, -0.000460138
6.651, -0.000460138
6.7, -0.000460138
6.75, -0.000460138
6.8, -0.000460138
6.85, -0.000460138
6.9, -0.000460138
6.95, -0.000460138
7, -0.000460138
7.05, -0.000460138
7.1, -0.000460138
7.15, -0.000460138
7.199, -0.000460138
7.25, -0.000460138
7.3, -0.000460138
7.35, -0.000460138
7.4, -0.000460138
7.45, -0.000460138
7.5, -0.000460138
7.55, -0.000460138
7.601, -0.000460138
7.65, -0.000460138
7.7, 2.2751e-05
7.75, -0.000966272
7.8, -0.000629008
7.85, -0.00055325
7.901, -0.000529323
7.95, -0.000516249
8, -0.000504795
8.05, -0.000494167
8.1, -0.000483405
8.15, -0.000472444
8.2, -0.000461917
8.25, -0.00045096
8.301, -0.000440218
8.35, -0.000429691
8.4, -0.00041895
8.45, -0.000408208
8.5, -0.000397251
8.55, -0.00038651
8.6, -0.000375983
8.65, -0.000365026
8.7, -0.000354285
8.75, -0.000343543
8.8, -0.000333016
8.85, -0.000322059
8.9, -0.000311533
8.95, -0.000300791
9, -0.000290049
9.05, -0.000279307
9.1, -0.000268566
9.15, -0.000257609
9.2, -0.000246867
9.25, -0.000236341
9.3, -0.000225599
9.351, -0.000214642
9.4, -0.000204115
9.45, -0.000193159
9.5, -0.000182632
9.551, -0.000171675
9.599, -0.000160934
9.649, -0.000150192
9.701, 0.00851939
9.75, 0.0441249
9.801, -0.0245507
9.851, -0.0577498
9.901, -0.083704
9.95, -0.10778
10, -0.132064
10.05, -0.156779
10.1, -0.180994
10.15, -0.205207
10.2, -0.228933
10.249, -0.253146
10.299, -0.277353
10.35, -0.301558
10.4, -0.325764
10.45, -0.349967
10.5, -0.374653
10.55, -0.398365
10.6, -0.422562
10.65, -0.446755
10.7, -0.471431
10.75, -0.495617
10.801, -0.519801
10.851, -0.543984
10.9, -0.567678
10.951, -0.592336
11, -0.616024
11.049, -0.640678
11.101, -0.664835
11.151, -0.688998
11.2, -0.713154
11.251, -0.737302
11.301, -0.76145
11.351, -0.785591
11.401, -0.809728
11.451, -0.83386
11.5, -0.857504
11.551, -0.882108
11.601, -0.906224
11.65, -0.929853
11.7, -0.967385
11.75, -1.06975
11.801, -0.954213
11.851, -0.912204
11.9, -0.885118
11.951, -0.859821
12.001, -0.835554
12.05, -0.811397
12.1, -0.787254
12.15, -0.763593
12.2, -0.739448
12.25, -0.715298
12.3, -0.691143
12.35, -0.666984
12.4, -0.642821
12.45, -0.618654
12.5, -0.594002
12.55, -0.570308
12.6, -0.546131
12.65, -0.52195
12.7, -0.497766
12.75, -0.473578
12.8, -0.449388
12.851, -0.424711
12.9, -0.400517
12.951, -0.376316
13, -0.352601
13.051, -0.327914
13.1, -0.303711
13.15, -0.279503
13.2, -0.255777
13.251, -0.231085
13.301, -0.206874
13.351, -0.182661
13.4, -0.158449
13.45, -0.134716
13.5, -0.110502
13.55, -0.0862861
13.601, -0.0615851
13.65, -0.0373697
13.701, -0.281506
13.75, -1.34029
13.8, 0.708339
13.851, 1.72042
13.9, 2.50802
13.95, 3.24411
14, 3.93858
14.05, 4.61801
14.1, 5.27063
14.151, 5.90289
14.2, 6.47555
14.25, 7.02035
14.301, 7.532
14.35, 7.97916
14.4, 8.38694
14.45, 8.74388
14.5, 9.04768
14.55, 9.29651
14.6, 9.49032
14.651, 9.62724
14.701, 10.2751
14.75, 13.434
14.8, 10.4155
14.85, 9.67115
14.9, 9.36691
14.95, 9.09875
15, 8.79604
15.05, 8.43511
15.101, 8.03389
15.15, 7.58965
15.2, 7.08085
15.25, 6.55311
15.3, 5.97164
15.35, 5.35501
15.4, 4.70577
15.45, 4.02782
15.501, 3.31112
15.551, 2.58763
15.6, 1.8631
15.65, 1.11264
15.7, 0.14427
15.75, -1.80688
15.8, -0.35453
15.85, -0.0703486
15.9, -0.0140749
15.95, -0.00290295
16, -0.000683829
16.05, -0.00024316
16.1, -0.000155453
16.15, -0.000138029
16.199, -0.000134577
16.25, -0.000133884
16.3, -0.000133744
16.35, -0.000133717
16.4, -0.000133711
16.45, -0.00013371
16.5, -0.00013371
16.55, -0.00013371
16.6, -0.00013371
16.65, -0.00013371
16.7, -0.00013371
16.75, -0.00013371
16.8, -0.00013371
16.85, -0.00013371
16.9, -0.00013371
16.95, -0.00013371
17, -0.00013371
17.05, -0.00013371
17.1, -0.00013371
17.15, -0.00013371
17.2, -0.00013371
17.25, -0.00013371
17.3, -0.00013371
17.35, -0.00013371
17.4, -0.00013371
17.45, -0.00013371
17.5, -0.00013371
17.55, -0.00013371
17.6, -0.00013371
