sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/z
4.05, 1.52622e-20
4.1, -5.02872e-21
4.15, 2.00861e-21
4.2, -1.96667e-20
4.25, -1.57044e-20
4.3, 1.18775e-20
4.35, -1.90981e-20
4.4, 1.89459e-20
4.45, 1.8643e-20
4.5, -1.26032e-20
4.55, 1.2164e-20
4.6, -1.22473e-20
4.65, 2.20414e-20
4.7, 2.15171e-20
4.75, -1.59913e-20
4.8, 1.86535e-20
4.85, -1.18079e-20
4.901, 2.43706e-20
4.95, 7.8946e-21
5, -1.18044e-20
5.05, -1.18323e-20
5.1, -1.23323e-20
5.15, -1.23151e-20
5.2, 1.18752e-20
5.25, -1.51927e-20
5.3, -8.15483e-21
5.35, 1.86445e-20
5.4, -1.17984e-20
5.45, 1.21646e-20
5.5, -1.90955e-20
5.551, 1.21662e-20
5.601, 4.94316e-11
5.65, -1.02583e-11
5.7, -2.26063e-11
5.75, -2.50593e-11
5.8, -2.55466e-11
5.85, -2.56434e-11
5.9, -2.56626e-11
5.95, -2.56665e-11
6, -2.56672e-11
6.05, -2.56674e-11
6.1, -2.56674e-11
6.15, -2.56674e-11
6.201, -2.56674e-11
6.25, -2.56674e-11
6.3, -2.56674e-11
6.35, -2.56674e-11
6.401, -2.56674e-11
6.45, -2.56674e-11
6.5, -2.56674e-11
6.55, -2.56674e-11
6.6, -2.56674e-11
6.65, -2.56674e-11
6.701, -2.56674e-11
6.75, -2.56674e-11
6.8, -2.56674e-11
6.851, -2.56674e-11
6.901, -2.56674e-11
6.951, -2.56674e-11
7.001, -2.56674e-11
7.05, -2.56674e-11
7.1, -2.56674e-11
7.15, -2.56674e-11
7.201, -2.56674e-11
7.251, -2.56674e-11
7.3, -2.56674e-11
7.35, -2.56674e-11
7.4, -2.56674e-11
7.45, -2.56674e-11
7.499, -2.56674e-11
7.55, -2.56674e-11
7.6, 3.17848e-08
7.65, 4.0346e-08
7.7, 4.20468e-08
7.75, 4.23846e-08
7.8, 4.24517e-08
7.85, 4.24651e-08
7.9, 4.24677e-08
7.95, 4.24682e-08
8, 4.24683e-08
8.05, 4.24683e-08
8.1, 4.24683e-08
8.15, 4.24683e-08
8.2, 4.24683e-08
8.25, 4.24683e-08
8.3, 4.24683e-08
8.35, 4.24683e-08
8.399, 4.24683e-08
8.45, 4.24682e-08
8.5, 4.24682e-08
8.55, 4.24682e-08
8.6, 4.24682e-08
8.65, 4.24682e-08
8.7, 4.24682e-08
8.751, 4.24682e-08
8.8, 4.24682e-08
8.85, 4.24682e-08
8.9, 4.24682e-08
8.95, 4.24682e-08
9, 4.24681e-08
9.051, 4.24681e-08
9.1, 4.24681e-08
9.15, 4.24681e-08
9.2, 4.24681e-08
9.25, 4.24681e-08
9.3, 4.24681e-08
9.35, 4.24681e-08
9.4, 4.24681e-08
9.45, 4.24681e-08
9.5, 4.24681e-08
9.55, 4.24681e-08
9.6, -2.11141e-08
9.65, -3.8226e-08
9.7, -4.16254e-08
9.75, -4.23007e-08
9.8, -4.24348e-08
9.851, -4.24617e-08
9.9, -4.24668e-08
9.95, -4.24678e-08
10.001, -4.24681e-08
10.051, -4.24681e-08
10.101, -4.24681e-08
10.15, -4.24681e-08
10.2, -4.24681e-08
10.25, -4.24681e-08
10.301, -4.24682e-08
10.35, -4.24682e-08
10.4, -4.24682e-08
10.45, -4.24682e-08
10.5, -4.24682e-08
10.551, -4.24682e-08
10.601, -4.24682e-08
10.65, -4.24682e-08
10.701, -4.24682e-08
10.751, -4.24682e-08
10.8, -4.24682e-08
10.851, -4.24683e-08
10.9, -4.24683e-08
10.95, -4.24683e-08
11, -4.24683e-08
11.05, -4.24683e-08
11.1, -4.24683e-08
11.15, -4.24683e-08
11.2, -4.24683e-08
11.25, -4.24683e-08
11.3, -4.24684e-08
11.35, -4.24684e-08
11.4, -4.24684e-08
11.45, -4.24684e-08
11.5, -4.24684e-08
11.55, -4.24684e-08
11.601, -4.24684e-08
11.65, -4.24684e-08
11.7, -4.24685e-08
11.751, -4.24685e-08
11.8, -4.24685e-08
11.851, -4.24685e-08
11.901, -4.24685e-08
11.95, -4.24685e-08
12, -4.24685e-08
12.05, -4.24685e-08
12.1, -4.24686e-08
12.15, -4.24686e-08
12.2, -4.24686e-08
12.25, -4.24686e-08
12.3, -4.24686e-08
12.351, -4.24686e-08
12.401, -4.24686e-08
12.45, -4.24687e-08
12.5, -4.24687e-08
12.55, -4.24687e-08
12.601, -4.24687e-08
12.651, -4.24687e-08
12.7, -4.24687e-08
12.75, -4.24688e-08
12.799, -4.24688e-08
12.849, -4.24688e-08
12.9, -4.24688e-08
12.95, -4.24688e-08
13, -4.24688e-08
13.05, -4.24689e-08
13.1, -4.24689e-08
13.15, -4.24689e-08
13.2, -4.24689e-08
13.25, -4.24689e-08
13.3, -4.24689e-08
13.35, -4.2469e-08
13.4, -4.2469e-08
13.451, -4.2469e-08
13.501, -4.2469e-08
13.55, -4.2469e-08
13.601, 5.39243e-08
13.65, 7.85744e-08
13.7, 8.36738e-08
13.75, 8.46868e-08
13.8, 8.4888e-08
13.85, 8.49279e-08
13.9, 8.49358e-08
13.95, 8.49373e-08
14, 8.49375e-08
14.051, 8.49375e-08
14.1, 8.49375e-08
14.15, 8.49374e-08
14.201, 8.49373e-08
14.25, 8.49373e-08
14.3, 8.49372e-08
14.35, 8.49372e-08
14.4, 8.49371e-08
14.45, 8.4937e-08
14.5, 8.4937e-08
14.55, 8.49369e-08
14.6, 2.13544e-08
14.649, 4.38158e-09
14.7, 8.42749e-10
14.751, 1.62094e-10
14.8, 3.3259e-11
14.85, 6.60716e-12
14.899, 1.35568e-12
14.95, 2.60751e-13
14.999, 5.35019e-14
15.05, 1.02905e-14
