sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/y
4.05, 6.29905
4.1, 6.29905
4.15, 6.29905
4.2, 6.29905
4.25, 6.29905
4.3, 6.29905
4.35, 6.29905
4.4, 6.29905
4.45, 6.29905
4.5, 6.29905
4.55, 6.29905
4.6, 6.29905
4.65, 6.29905
4.7, 6.29905
4.75, 6.29905
4.8, 6.29905
4.85, 6.29905
4.901, 6.29905
4.95, 6.29905
5, 6.29905
5.05, 6.29905
5.1, 6.29905
5.15, 6.29905
5.2, 6.29905
5.25, 6.29905
5.3, 6.29905
5.35, 6.29905
5.4, 6.29905
5.45, 6.29905
5.5, 6.29905
5.551, 6.29905
5.601, 6.29903
5.65, 6.29908
5.7, 6.29906
5.75, 6.29905
5.8, 6.29905
5.85, 6.29905
5.9, 6.29905
5.95, 6.29905
6, 6.29905
6.05, 6.29905
6.1, 6.29905
6.15, 6.29905
6.201, 6.29905
6.25, 6.29905
6.3, 6.29905
6.35, 6.29905
6.401, 6.29905
6.45, 6.29905
6.5, 6.29905
6.55, 6.29905
6.6, 6.29905
6.65, 6.29905
6.701, 6.29905
6.75, 6.29905
6.8, 6.29905
6.851, 6.29905
6.901, 6.29905
6.951, 6.29905
7.001, 6.29905
7.05, 6.29905
7.1, 6.29905
7.15, 6.29905
7.201, 6.29905
7.251, 6.29905
7.3, 6.29905
7.35, 6.29905
7.4, 6.29905
7.45, 6.29905
7.499, 6.29905
7.55, 6.29905
7.6, 6.28443
7.65, 6.295
7.7, 6.29805
7.75, 6.29857
7.8, 6.29855
7.85, 6.29839
7.9, 6.29817
7.95, 6.29791
8, 6.29762
8.05, 6.29728
8.1, 6.2969
8.15, 6.29649
8.2, 6.29604
8.25, 6.29555
8.3, 6.29502
8.35, 6.29445
8.399, 6.29384
8.45, 6.2932
8.5, 6.29252
8.55, 6.29178
8.6, 6.29102
8.65, 6.29022
8.7, 6.28939
8.751, 6.28852
8.8, 6.28762
8.85, 6.28664
8.9, 6.28568
8.95, 6.28462
9, 6.28358
9.051, 6.28245
9.1, 6.28133
9.15, 6.28015
9.2, 6.27893
9.25, 6.27767
9.3, 6.27638
9.35, 6.27504
9.4, 6.27367
9.45, 6.27226
9.5, 6.27081
9.55, 6.26928
9.6, 6.29833
9.65, 6.27809
9.7, 6.27312
9.75, 6.27327
9.8, 6.27441
9.851, 6.27574
9.9, 6.27702
9.95, 6.2783
10.001, 6.27956
10.051, 6.28076
10.101, 6.28192
10.15, 6.28304
10.2, 6.28413
10.25, 6.28516
10.301, 6.28619
10.35, 6.28714
10.4, 6.28807
10.45, 6.28896
10.5, 6.28982
10.551, 6.29065
10.601, 6.29143
10.65, 6.29217
10.701, 6.29288
10.751, 6.29354
10.8, 6.29416
10.851, 6.29475
10.9, 6.29528
10.95, 6.29579
11, 6.29627
11.05, 6.2967
11.1, 6.29709
11.15, 6.29745
11.2, 6.29777
11.25, 6.29805
11.3, 6.29829
11.35, 6.29849
11.4, 6.29866
11.45, 6.29878
11.5, 6.29887
11.55, 6.29891
11.601, 6.29893
11.65, 6.29889
11.7, 6.29883
11.751, 6.29872
11.8, 6.29858
11.851, 6.29839
11.901, 6.29817
11.95, 6.29791
12, 6.29761
12.05, 6.29729
12.1, 6.2969
12.15, 6.2965
12.2, 6.29603
12.25, 6.29556
12.3, 6.29501
12.351, 6.29445
12.401, 6.29384
12.45, 6.29321
12.5, 6.29253
12.55, 6.29181
12.601, 6.29103
12.651, 6.29023
12.7, 6.28941
12.75, 6.28854
12.799, 6.28762
12.849, 6.28668
12.9, 6.28569
12.95, 6.28466
13, 6.28359
13.05, 6.28246
13.1, 6.28132
13.15, 6.28014
13.2, 6.27895
13.25, 6.27769
13.3, 6.27639
13.35, 6.27502
13.4, 6.27368
13.451, 6.27224
13.501, 6.27079
13.55, 6.26933
13.601, 6.2264
13.65, 6.26033
13.7, 6.27209
13.75, 6.27652
13.8, 6.27937
13.85, 6.28179
13.9, 6.28402
13.95, 6.28604
14, 6.28792
14.051, 6.28968
14.1, 6.29122
14.15, 6.29265
14.201, 6.29394
14.25, 6.29503
14.3, 6.296
14.35, 6.29681
14.4, 6.29746
14.45, 6.29795
14.5, 6.29831
14.55, 6.29851
14.6, 6.32796
14.649, 6.307
14.7, 6.30065
14.751, 6.29936
14.8, 6.29911
14.85, 6.29907
14.899, 6.29906
14.95, 6.29905
14.999, 6.29905
15.05, 6.29905
