sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/y
0.049, 5.39297
0.099, 5.34456
0.149, 5.22201
0.199, 5.30047
0.249, 5.39035
0.299, 5.43053
0.349, 5.40228
0.399, 5.3828
0.449, 5.37905
0.499, 5.35835
0.549, 5.3393
0.599, 5.37004
0.649, 5.39879
0.699, 5.39088
0.749, 5.39153
0.799, 5.38969
0.849, 5.37593
0.899, 5.34451
0.949, 5.36389
0.999, 5.38694
1.049, 5.38291
1.099, 5.38747
1.149, 5.39002
1.199, 5.38
1.249, 5.36951
1.299, 5.35781
1.349, 5.3752
1.399, 5.38177
1.449, 5.40278
1.499, 5.38917
1.549, 5.3394
1.599, 5.32126
1.649, 5.36769
1.699, 5.40176
1.749, 5.39665
1.799, 5.39667
1.849, 5.39431
1.899, 5.38034
1.949, 5.33404
1.999, 5.34953
2.049, 5.38504
2.099, 5.39792
2.149, 5.38909
2.199, 5.39071
2.249, 5.38479
2.299, 5.3634
2.349, 5.34994
2.399, 5.36914
2.449, 5.38605
2.499, 5.39136
2.549, 5.38292
2.599, 5.38978
2.649, 5.37624
2.699, 5.3578
2.749, 5.36739
2.799, 5.37644
2.849, 5.38805
2.899, 5.38081
2.949, 5.38496
2.999, 5.38211
3.049, 5.36945
3.099, 5.36508
3.149, 5.37345
3.199, 5.38344
3.249, 5.38109
3.299, 5.38122
3.349, 5.38265
3.399, 5.37535
3.449, 5.36859
3.499, 5.37177
3.549, 5.37955
3.599, 5.3809
3.649, 5.37968
3.699, 5.37987
3.749, 5.37878
3.799, 5.37527
3.849, 5.37056
3.899, 5.37604
3.949, 5.3772
3.999, 5.3809
4.049, 5.37963
4.099, 5.37892
4.149, 5.37485
4.199, 5.37598
4.248, 5.3985
4.299, 5.35593
4.349, 5.37722
4.399, 5.37805
4.449, 5.37906
4.499, 5.37809
4.549, 5.37327
4.599, 5.37933
4.649, 5.37419
4.699, 5.3787
4.749, 5.37708
4.799, 5.37851
4.849, 5.3786
4.899, 5.37681
4.949, 5.37667
4.999, 5.37452
5.049, 5.37809
5.099, 5.37701
5.149, 5.37839
5.199, 5.3774
5.249, 5.37756
5.299, 5.37698
5.349, 5.37666
5.399, 5.37648
5.449, 5.37691
5.499, 5.37758
5.549, 5.37767
5.599, 5.3782
5.649, 5.37677
5.699, 5.3769
5.749, 5.37666
5.799, 5.3768
5.849, 5.37721
5.899, 5.37805
5.949, 5.37701
5.999, 5.37742
6.049, 5.37757
6.099, 5.37678
6.149, 5.37695
6.199, 5.37725
6.249, 5.37679
6.299, 5.37806
6.349, 5.37682
6.399, 5.37727
6.449, 5.3777
6.499, 5.37639
6.549, 5.37752
6.599, 5.37667
6.649, 5.37731
6.699, 5.37796
6.749, 5.37678
6.799, 5.37724
6.849, 5.37704
6.899, 5.37771
6.949, 5.37712
6.999, 5.37723
7.049, 5.37681
7.099, 5.37731
7.149, 5.37784
7.199, 5.3765
7.249, 5.37716
7.299, 5.37715
7.349, 5.3772
7.399, 5.3773
7.449, 5.37726
7.499, 5.37794
7.549, 5.37665
7.599, 5.37718
7.649, 5.3777
7.698, 5.39653
7.749, 5.35867
7.799, 5.37685
7.849, 5.37717
7.899, 5.37785
7.949, 5.37661
7.999, 5.3773
8.049, 5.3772
8.099, 5.37723
8.149, 5.37726
8.199, 5.37718
8.249, 5.3779
8.299, 5.37666
8.349, 5.37776
8.399, 5.37727
8.449, 5.37725
8.499, 5.37661
8.549, 5.37731
8.599, 5.37794
8.649, 5.37724
8.699, 5.37723
8.749, 5.37719
8.799, 5.37679
8.849, 5.37717
8.899, 5.37788
8.949, 5.37722
8.999, 5.37684
9.049, 5.37782
9.099, 5.3772
9.149, 5.37676
9.199, 5.37778
9.249, 5.3772
9.299, 5.37677
9.349, 5.37787
9.399, 5.3768
9.449, 5.37778
9.499, 5.37678
9.549, 5.37776
9.599, 5.37719
9.649, 5.3774
9.699, 5.37718
9.749, 5.37741
9.799, 5.37718
9.849, 5.3774
9.899, 5.37716
9.949, 5.37737
9.999, 5.37681
10.049, 5.37777
10.099, 5.37673
10.149, 5.37785
10.199, 5.37674
10.249, 5.3778
10.299, 5.37737
10.349, 5.3768
10.399, 5.37777
10.449, 5.37736
10.499, 5.3768
10.549, 5.37777
10.599, 5.37674
10.649, 5.37741
10.699, 5.37776
10.749, 5.37681
10.799, 5.37773
10.849, 5.37738
10.899, 5.37674
10.949, 5.37781
10.999, 5.37738
11.049, 5.37674
11.099, 5.37742
11.149, 5.37777
11.199, 5.37737
11.249, 5.37679
11.299, 5.37778
11.349, 5.37735
11.399, 5.37674
11.449, 5.4197
11.499, 5.37335
11.549, 5.37305
11.599, 5.37162
11.649, 5.3697
11.699, 5.36914
11.749, 5.36844
11.799, 5.36582
11.849, 5.36404
11.899, 5.361
11.949, 5.36008
11.999, 5.35559
12.049, 5.3535
12.099, 5.36568
12.149, 5.3258
12.199, 5.28323
12.249, 5.477
12.299, 5.37059
12.349, 5.38793
12.399, 5.24887
12.449, 5.35233
12.499, 5.37044
12.549, 5.23892
12.599, 5.33232
12.649, 5.20326
12.699, 5.3357
12.749, 5.48273
12.799, 5.28835
12.849, 5.07496
12.899, 5.23897
12.949, 5.40147
12.999, 5.37732
13.049, 5.2554
13.099, 5.24013
13.149, 5.24821
13.199, 5.24454
13.249, 5.22373
13.299, 5.21528
13.349, 5.21767
13.399, 5.20159
13.449, 5.19795
13.499, 5.1608
13.549, 5.17633
13.599, 5.15648
13.649, 5.15747
13.699, 5.13149
13.749, 5.12238
13.799, 5.11369
13.849, 5.10283
13.899, 5.08481
13.949, 5.05942
13.999, 5.08037
14.049, 5.05282
14.099, 5.04066
14.149, 5.00209
14.199, 5.02943
14.249, 4.99037
14.299, 4.98876
14.349, 4.96262
14.399, 4.94729
14.449, 5.08568
14.499, 4.91479
14.549, 4.93118
14.599, 4.94291
14.649, 4.95957
14.699, 4.94462
14.749, 4.94654
14.799, 4.95278
14.849, 4.88033
14.899, 4.87168
14.949, 4.88857
14.999, 4.91868
15.049, 5.10106
15.099, 4.96602
15.149, 4.89128
15.199, 4.93105
15.249, 4.94257
15.299, 4.81532
15.349, 5.08569
15.399, 4.90785
15.449, 4.96525
15.499, 4.88309
15.549, 4.93346
15.599, 4.95039
15.649, 4.91356
15.699, 4.87203
15.749, 5.10599
15.799, 4.90594
15.849, 4.81926
15.899, 4.8874
15.949, 5.1656
15.999, 4.89925
16.049, 4.90422
16.099, 4.85321
16.149, 4.97227
16.199, 4.8275
16.249, 5.17453
16.299, 4.87694
16.349, 4.91457
16.399, 4.84969
16.449, 5.08271
16.499, 4.93255
16.549, 4.84532
16.599, 4.94413
16.649, 4.884
16.699, 4.94837
16.749, 5.04954
16.799, 4.94348
16.849, 4.84174
16.899, 4.98007
16.949, 4.85797
